ρ,spec,phi,p,scenario,θpinned,θ_t0,θ_t1,θ_t2,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
0.5,scale,0.5,0.9483809161289048,acute,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.2388523310395141,0.198412526104806,39.20263662826411,0.2402141469279911,0.1962497482751804,38.903782803815965
0.5,scale,0.5,0.9483809161289048,baseline,False,0.7382263650417814,0.7414412609368004,0.7485266209724722,0.1440318538897936,0.228269916055202,39.39993125546339,0.2025913502834936,0.2092240891619505,39.17844028847772
0.5,scale,0.5,0.9483809161289048,baseline,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1440492410732744,0.2283736751064776,39.39575080824141,0.2027544711694288,0.2095158664286881,39.16356168806584
0.5,scale,0.5,0.9483809161289048,frBoth,False,0.4952500607711922,1.0,1.0,0.1172611506654993,0.230688776674596,41.1809217559454,0.1887030402910946,0.2077327771712089,40.87788034890866
0.5,scale,0.5,0.9483809161289048,frBoth,True,0.4952500607711922,0.4952500607711922,0.4952500607711922,0.1153538808056054,0.2563374539921207,40.47238268943099,0.1762714655339316,0.237987364590391,40.59966008257696
0.5,scale,0.5,0.9483809161289048,frIncome,False,0.4952500607711922,1.0,1.0,0.1127358958290763,0.2322665377144096,41.24016270346858,0.188582270573253,0.207936698452483,40.90665695245388
0.5,scale,0.5,0.9483809161289048,frIncome,True,0.4952500607711922,0.4952500607711922,0.4952500607711922,0.1099822703834747,0.2597747833864622,40.52879654200109,0.1709341256786622,0.2415817367538748,40.70974719963334
0.5,scale,0.5,0.9483809161289048,frLeisure,False,0.7382263650417816,0.7407447848298099,0.7534791506827759,0.141818414420944,0.2321570117360984,34.7841967646418,0.2016423740410767,0.2107613265196048,34.37904868690039
0.5,scale,0.5,0.9483809161289048,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.141828125145907,0.2322411779721162,34.78153143168084,0.2018261619900727,0.2112071568887051,34.35950538707889
0.5,scale,0.5,0.9483809161289048,frVoting,False,0.7382263650417814,0.664306433398086,0.670338133933617,0.1478362816427846,0.2286108845211178,39.261369377748885,0.2089847720802557,0.2087405435872806,38.99055139390804
0.5,scale,0.5,0.9483809161289048,frVoting,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.1472390527254689,0.2263710546234618,39.364373506780055,0.206053903709616,0.2073919032954491,39.0964959406591
2.0,scale,0.5,0.0856124520441874,acute,False,0.7382263650417816,0.8148636636861111,0.821133865356692,0.2221188253673624,0.1814286448278058,39.4741774374935,0.2207425750262179,0.1849509828649606,38.96743417666335
2.0,scale,0.5,0.0856124520441874,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.2213269495993471,0.1820300915693573,39.39135894414736,0.2203547465592328,0.1855136980685685,38.87726543075632
2.0,scale,0.5,0.0856124520441874,baseline,False,0.7382263650417816,0.7389958574086747,0.7821081346235541,0.1443886175720735,0.2121983130478729,39.39415732723044,0.1914525553061667,0.1974857956213801,39.11554109521333
2.0,scale,0.5,0.0856124520441874,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1443925688587002,0.2122015280404723,39.391389735002974,0.191014476784036,0.1978539806295548,39.06904101491413
2.0,scale,0.5,0.0856124520441874,frBoth,False,0.4952500607711927,0.6921426951175002,0.7510538898160206,0.1440553962516725,0.2124889582524202,40.440548192947375,0.1916545185989408,0.1975996230609539,40.16186889527414
2.0,scale,0.5,0.0856124520441874,frBoth,True,0.4952500607711927,0.4952500607711927,0.4952500607711927,0.1422731149346986,0.2144302783566797,40.22748578130299,0.189000165562537,0.1999067763455987,39.90166545999476
2.0,scale,0.5,0.0856124520441874,frIncome,False,0.4952500607711927,1.0,1.0,0.1252967394465575,0.213769822751218,41.02277732484848,0.1906047416206931,0.1961404647798872,40.51674520788488
2.0,scale,0.5,0.0856124520441874,frIncome,True,0.4952500607711927,0.4952500607711927,0.4952500607711927,0.1220993214907367,0.2214307501286693,40.43400618826847,0.1700929124658117,0.2055193251557756,40.22245151204467
2.0,scale,0.5,0.0856124520441874,frLeisure,False,0.7382263650417816,0.7387854131204226,0.7822809227681642,0.1450808646112103,0.2094693792886311,35.3996273795746,0.1916220883714934,0.1968609175159879,34.90742448141552
2.0,scale,0.5,0.0856124520441874,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1450871293124647,0.2094704198396617,35.39734470629439,0.1911827605592422,0.1972285257161593,34.86586985421044
2.0,scale,0.5,0.0856124520441874,frVoting,False,0.7382263650417816,0.2810061844440463,0.2914340383205583,0.1550180515643808,0.2083046927427558,38.78160596668113,0.2207767504741882,0.1919865407792269,38.10111513376629
2.0,scale,0.5,0.0856124520441874,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1617924111587038,0.2062847657798307,39.23129576783072,0.2073851191119393,0.1930650397292418,38.81235815596648
2.0,scale,0.5,0.0856124520441874,mild,False,0.7382263650417815,0.7703720320064674,0.8002865649978164,0.1812010247904097,0.1970936140700619,39.43087315071988,0.2058559016475833,0.1912396156999149,39.04323813928656
2.0,scale,0.5,0.0856124520441874,mild,True,0.7382263650417815,0.7382263650417815,0.7382263650417815,0.1808843407196985,0.1973605709993734,39.395688045501714,0.2053758010154343,0.1917134084097138,38.977197122937305
