spec,phi,p,axis,value,ν,θData,θChoice,τ,τAtChoice,ηRatio
flat,0.25,0.4383914458124193,nu,1.1,1.1,0.7169555630958365,0.7232058993638899,0.20334016827772766,0.2032642095647091,3.732950702003785
flat,0.25,0.4383914458124193,nu,1.15,1.15,0.7169555630958367,0.7222788016142566,0.19002555400250937,0.18996339097160497,3.7329507020037846
flat,0.25,0.4383914458124193,nu,1.2,1.2,0.7169555630958365,0.7214998575291746,0.17726574576728243,0.1772147414398618,3.7329507020037838
flat,0.25,0.4383914458124193,nu,1.25,1.25,0.7169555630958367,0.7208443200149145,0.16502685499802305,0.1649848974612749,3.7329507020037873
flat,0.25,0.4383914458124193,nu,1.3,1.3,0.7169555630958367,0.7177147868067368,0.15327769784282963,0.15327011276754907,3.732950702003785
flat,0.25,0.4383914458124193,nu,1.35,1.35,0.7169555630958366,0.7145764506849699,0.14198953061247652,0.14201138835663624,3.7329507020037838
flat,0.25,0.4383914458124193,nu,1.4,1.4,0.7169555630958365,0.7114350170394771,0.13113581567826124,0.13118208767465767,3.7329507020037855
flat,0.25,0.4383914458124193,nu,1.4500000000000002,1.4500000000000002,0.7169555630958367,0.7082436258183804,0.12069201381338039,0.12075794271718515,3.7329507020037838
flat,0.25,0.4383914458124193,nu,1.5,1.5,0.7169555630958367,0.7049115312736535,0.11063539955740777,0.11071647525118165,3.7329507020037855
flat,0.25,0.4383914458124193,nu,1.55,1.55,0.7169555630958366,0.70384843094947,0.1009448966799059,0.10102679379128322,3.7329507020037846
flat,0.25,0.4383914458124193,inequality,0.5,1.339667762739423,0.055343737907397675,0.9763053278998006,0.0001,0.13023187504477246,1.9770113255477342
flat,0.25,0.4383914458124193,inequality,0.6,1.339667762739423,0.2524692444693098,0.9365880453712845,0.051949858084984056,0.13069265509311576,2.2432841635923984
flat,0.25,0.4383914458124193,inequality,0.7,1.339667762739423,0.42178475532609416,0.88828351934861,0.10247584266279283,0.13189001935235334,2.543819682777393
flat,0.25,0.4383914458124193,inequality,0.8,1.339667762739423,0.5491068176645134,0.8287029690279584,0.12465636486036959,0.13426851327532957,2.885685742115508
flat,0.25,0.4383914458124193,inequality,0.9,1.339667762739423,0.6443230629948754,0.7746765434383067,0.136749268655738,0.1382227876980762,3.278037728191015
flat,0.25,0.4383914458124193,inequality,1.0,1.339667762739423,0.7169555630958365,0.716955562471621,0.14428571428572443,0.14428571429172485,3.7329507020037846
flat,0.25,0.4383914458124193,inequality,1.1,1.339667762739423,0.7736319543485952,0.6526244791168712,0.1494174334538493,0.15301610774621294,4.26668409113729
flat,0.25,0.4383914458124193,inequality,1.2000000000000002,1.339667762739423,0.8187577776793767,0.5990673936809714,0.15312717450336252,0.1647167010429304,4.901666114044309
flat,0.25,0.4383914458124193,inequality,1.3,1.339667762739423,0.8552866133854087,0.5468417963230713,0.1559186732326145,0.1798877533819491,5.66972587443012
flat,0.75,1.8540003178933555,nu,0.95,0.95,0.7136531630104266,0.7311526724145634,0.24712781700867448,0.24689033829405574,3.732950702003785
flat,0.75,1.8540003178933555,nu,1.0,1.0,0.7136531630104266,0.7274401202162455,0.23189894748403075,0.2317216264577675,3.7329507020037846
flat,0.75,1.8540003178933555,nu,1.05,1.05,0.7136531630104264,0.7255301418479448,0.21734521530274423,0.21719885820429027,3.7329507020037846
flat,0.75,1.8540003178933555,nu,1.1,1.1,0.7136531630104261,0.7239225489237462,0.2034227903087649,0.2033015021551034,3.732950702003782
flat,0.75,1.8540003178933555,nu,1.15,1.15,0.7136531630104261,0.7225658471527171,0.19009155575022174,0.18999064151562509,3.732950702003782
flat,0.75,1.8540003178933555,nu,1.2,1.2,0.7136531630104266,0.7214180772216299,0.17731472317366648,0.17723042559917782,3.7329507020037833
flat,0.75,1.8540003178933555,nu,1.25,1.25,0.7136531630104264,0.718676129443453,0.1650584942702447,0.16500710691524922,3.7329507020037846
flat,0.75,1.8540003178933555,nu,1.3,1.3,0.7136531630104265,0.7135764578723792,0.1532917631283804,0.15329248170292697,3.732950702003785
flat,0.75,1.8540003178933555,nu,1.35,1.35,0.7136531630104265,0.708413692968154,0.14198585337002068,0.1420304018298156,3.7329507020037838
flat,0.75,1.8540003178933555,nu,1.4,1.4,0.7136531630104265,0.7040140755482904,0.1311142854937135,0.13118868529325903,3.7329507020037846
flat,0.75,1.8540003178933555,nu,1.4500000000000002,1.4500000000000002,0.7136531630104264,0.7032743629682432,0.12065257045089146,0.12072843650064866,3.7329507020037838
flat,0.75,1.8540003178933555,nu,1.5,1.5,0.7136531630104266,0.7026183315112124,0.11057802606810548,0.11065434537694895,3.732950702003784
flat,0.75,1.8540003178933555,nu,1.55,1.55,0.7136531630104265,0.7020333474026175,0.10086961341874683,0.10094557434963393,3.732950702003785
flat,0.75,1.8540003178933555,inequality,0.5,1.339667762739423,0.08732863611572927,0.9793700665834411,0.060223769637631416,0.13138226687896215,1.9770113255477342
flat,0.75,1.8540003178933555,inequality,0.6,1.339667762739423,0.28369256859128117,0.9510438458442714,0.09049259270440206,0.13172835046155407,2.243284163592398
flat,0.75,1.8540003178933555,inequality,0.7,1.339667762739423,0.43413867738764067,0.9076623594613596,0.11196154071233116,0.13268534170661808,2.5438196827773925
flat,0.75,1.8540003178933555,inequality,0.8,1.339667762739423,0.5509290327957272,0.8535914487932782,0.12674337940742783,0.13468273344349388,2.885685742115508
flat,0.75,1.8540003178933555,inequality,0.9,1.339667762739423,0.6420370381476471,0.796507612725483,0.1370043952140566,0.1382451590256298,3.278037728191014
flat,0.75,1.8540003178933555,inequality,1.0,1.339667762739423,0.7136531630104266,0.7136531631208868,0.14428571428572398,0.14428571428471842,3.732950702003784
flat,0.75,1.8540003178933555,inequality,1.1,1.339667762739423,0.7705466955358133,0.6121293011485353,0.14958822177895403,0.1537858355949433,4.266684091137289
flat,0.75,1.8540003178933555,inequality,1.2000000000000002,1.339667762739423,0.8162752740461575,0.47317963294681875,0.1535450325600557,0.16829186379544525,4.901666114044308
flat,0.75,1.8540003178933555,inequality,1.3,1.339667762739423,0.8534438270838017,0.0,0.15655785794149238,0.19637368084959816,5.669725874430119
