eps,theta,ρ,statusQuo,universalEps,τ,sr,h,ι,s,s_,c10,c20,nRoots,time
0.2895332224942868,0.5416666666666666,1.0,False,False,0.1295118569278702,0.13923163869031807,0.5926961653005371,0.32108077225369264,0.02435709939007236,0.026742271886281456,0.022966791682291092,0.03284902162550874,1,0.5997157096862793
0.30875,0.5416666666666666,1.0,False,False,0.13098657778022363,0.1389491650477783,0.5922215748489222,0.3177269852325397,0.02426297949220133,0.0266415973627977,0.023030606984892253,0.033022172540025846,1,0.5970377922058105
0.335,0.5416666666666666,1.0,False,False,0.1329200577438327,0.13858713751554658,0.5915956006118503,0.31308580159832206,0.024141043507364762,0.02650932834478522,0.023118459022845796,0.03325821154701023,1,0.6194524765014648
0.36125,0.5416666666666666,1.0,False,False,0.13479870837172142,0.13824898603618263,0.5909836091669267,0.3084028024243485,0.02402515087282967,0.026381146525810466,0.023206087990609567,0.033493642794922944,1,0.5988333225250244
0.3875,0.5416666666666666,1.0,False,False,0.13661759150450747,0.1379308594811916,0.5903889150249727,0.3036821011457541,0.023914872491881678,0.026257632554349826,0.023293889761157576,0.033728317218554925,1,0.6082546710968018
0.41375,0.5416666666666666,1.0,False,False,0.1383719669293151,0.13763346639969234,0.5898119765522363,0.2989272866868019,0.023810230762810483,0.026138524262787108,0.02338173054167942,0.033962058806354174,1,0.6195297241210938
0.44,0.5416666666666666,1.0,False,False,0.14007071103865826,0.13735530293729198,0.5892539246068407,0.2941491637840567,0.0237113587628355,0.02602504885850602,0.023469991687031025,0.03419507315996532,1,0.587268590927124
0.46625,0.5416666666666666,1.0,False,False,0.14171439529685614,0.13709462099795924,0.5887098827624021,0.2893523998146811,0.023617021989700168,0.025914757818735836,0.023557833447695152,0.03442550036903068,1,0.5976221561431885
0.4925,0.5416666666666666,1.0,False,False,0.14330000435244125,0.13685134454458153,0.5881826150102731,0.28453986198666825,0.023527550761111883,0.025808569811790333,0.023645609677016545,0.03465578571811449,1,0.600623607635498
0.5187499999999999,0.5416666666666666,1.0,False,False,0.1448308136962127,0.13662491827127732,0.5876725946648855,0.27971817334047844,0.023442983995982266,0.025706932247610958,0.023733450881205247,0.03488350105751108,1,0.6373550891876221
0.545,0.5416666666666666,1.0,False,False,0.14631116531137572,0.13641230033963644,0.5871790548804859,0.2748904563910253,0.023362674074439916,0.025609570670074182,0.0238214119318213,0.03510991036320315,1,0.665673017501831
0.546455288695737,0.5416666666666666,1.0,False,True,0.146391381024427,0.13640098963477484,0.5871521006530146,0.2746225207349966,0.023358335296273656,0.02560423172964264,0.023826266809764896,0.0351223586458478,1,0.652205228805542
0.57125,0.5416666666666666,1.0,False,False,0.14774225658224477,0.1362163677085031,0.58669845810559,0.2700669661351308,0.023286609030862396,0.02551524138447264,0.02390872464590859,0.03533448498081545,1,0.6189982891082764
0.5975,0.5416666666666666,1.0,False,False,0.14912335488692882,0.1360303917864146,0.5862379203864867,0.2652376757838647,0.02321458741686314,0.0254263870301068,0.023996939492018823,0.0355573941027582,1,0.6060748100280762
