eps,theta,ρ,statusQuo,universalEps,τ,sr,h,ι,s,s_,c10,c20,nRoots,time
0.5975,0.5833333333333334,1.0,False,False,0.16399466108854582,0.13994657086663545,0.4842176105729507,0.3417710915140296,0.012102630666673228,0.012993100153318652,0.01112987656410157,0.023942294032928347,1,0.5674517154693604
0.62375,0.5833333333333334,1.0,False,False,0.16531609890620602,0.13977209879611233,0.4838081232408783,0.33861161927246025,0.012063451430729824,0.012947469427370602,0.011154811796346219,0.024051678901809884,1,0.6212294101715088
0.65,0.5833333333333334,1.0,False,False,0.1665872000631651,0.13960939187967883,0.4834116704060987,0.3354492563348007,0.012026145400865733,0.012903425657029427,0.011179785006268213,0.024159907652164976,1,0.6250965595245361
0.02,0.625,1.0,False,False,0.11445348089962008,0.1494427367582714,0.49964381295514676,0.3995265334866605,0.013968457730187548,0.014933481763584189,0.010774615866298107,0.021490259701885315,1,0.5652327537536621
0.04625,0.625,1.0,False,False,0.11758801644724066,0.14869868754119364,0.49869313389541253,0.39788138847499144,0.013827934598929004,0.014794035301287046,0.010777710476443105,0.021589782058695325,1,0.532677412033081
0.0725,0.625,1.0,False,False,0.12057367853029724,0.14800739486613101,0.49779479566826723,0.3960410685868044,0.013697934528618607,0.014665297785023755,0.010784346648322882,0.02169253063379349,1,0.5385563373565674
0.09875,0.625,1.0,False,False,0.12343472539840976,0.147362134839041,0.4969385616469187,0.3940342166167302,0.013576745266248953,0.014545189638349313,0.010793722661697142,0.021797858900711793,1,0.5362277030944824
0.125,0.625,1.0,False,False,0.12618514677835596,0.1467574712998899,0.4961195181292969,0.39188394330395493,0.013463279690754741,0.01443263029742042,0.010805405280643892,0.02190520032323531,1,0.5420265197753906
0.15125,0.625,1.0,False,False,0.12882420051015794,0.1461910252684496,0.4953344478879958,0.38960298718945796,0.013356747513616592,0.014326477483877616,0.010818946774785483,0.022014583648489905,1,0.5762712955474854
0.1775,0.625,1.0,False,False,0.13135118986279876,0.14566221098739174,0.49458345060515724,0.38720014279804665,0.013256975699347381,0.014226571785065003,0.010834251797385015,0.02212559450828144,1,0.5323374271392822
0.20375,0.625,1.0,False,False,0.13378650903766431,0.1451658102666201,0.4938589823224336,0.38469706460362696,0.013162787954373712,0.014131576723302841,0.010850789518211003,0.022237800553438,1,0.5226912498474121
0.22999999999999998,0.625,1.0,False,False,0.13613689932666284,0.1446991134548803,0.4931625348361823,0.3821068859833224,0.013074098533896917,0.014041939350197234,0.010868710609961222,0.022350931271773566,1,0.5694472789764404
0.25625,0.625,1.0,False,False,0.13840386903962276,0.14425973283514087,0.49249284749797845,0.3794395116720031,0.01299044599135176,0.013957186510324696,0.01088784284787576,0.02246474916431316,1,0.5245575904846191
0.28250000000000003,0.625,1.0,False,False,0.14058376015715524,0.14384651067754858,0.4918458576876349,0.3767003415623796,0.01291110233954536,0.013875993787159296,0.010907690132598492,0.022579303844791326,1,0.5496835708618164
0.3050254617135535,0.625,1.0,False,False,0.1423937354408011,0.1435109809672729,0.491307234608385,0.37430177864741815,0.012846203671150956,0.013809053286909768,0.010925232641214103,0.022677938284721203,1,0.5807197093963623
