spec,phi,p,pos,date,ν,θ,τ,sr,workweek,R,τExo,srExo,workweekExo
flat,0.5,0.7021897718662036,6,2140,1.0688804499803877,0.7239931771521002,0.21184539416919757,0.1990333677573898,38.80341528264347,2.2947628672148648,0.21193989237038907,0.1991145211618039,38.794822983845194
flat,0.5,0.7021897718662036,7,2170,1.0688804499803877,0.7239931771521392,0.2118453941691971,0.18449639213097252,39.0024502199142,2.30778433796423,0.21193989237038907,0.1846142525520582,38.990739860504426
flat,0.25,0.4383914458124193,0,1960,1.405486131972424,0.7169555630958367,0.12997029872321356,0.24189923418347883,39.22405654516488,2.4900913863988268,0.12997029872320157,0.24189923418348588,39.22405654516514
flat,0.25,0.4383914458124193,1,1990,1.405486131972424,0.7169555630958367,0.12997029872321356,0.2377283122559214,39.27995589951538,2.4925749473332734,0.12997029872320173,0.2377283122559277,39.27995589951564
flat,0.25,0.4383914458124193,2,2020,1.339667762739423,0.7169555630958367,0.14428571428572448,0.21975505570910273,39.392710264980515,2.4429999999708376,0.1442857142857142,0.2197550556999779,39.392710265653776
flat,0.25,0.4383914458124193,3,2050,1.1219986438186136,0.7169555624716414,0.19741145751884018,0.20269648878152025,39.11141642786741,2.2503604567186417,0.19741145751190406,0.20278064616146113,39.10469870796166
flat,0.25,0.4383914458124193,4,2080,1.0688804499803877,0.7229523052213154,0.21184938332464068,0.199037814195415,38.90379865516988,2.248701644795542,0.21192332220504526,0.19911410328961773,38.896039497543875
flat,0.25,0.4383914458124193,5,2110,1.0688804499803877,0.7238707984165275,0.2118371582944423,0.19904090147751263,38.82944323251197,2.2824942269741126,0.21192332220504526,0.19911410328961765,38.821652376087144
flat,0.25,0.4383914458124193,6,2140,1.0688804499803877,0.7238707984165262,0.2118371582944424,0.19904090147751174,38.80287353331502,2.294678395690471,0.21192332220504526,0.1991141032896177,38.79507137147341
flat,0.25,0.4383914458124193,7,2170,1.0688804499803877,0.7238707984165869,0.21183715829444172,0.1844986412059306,39.001758482519875,2.3076916106388485,0.21192332220504526,0.18460532275113614,38.99111142258589
flat,0.75,1.8540003178933553,0,1960,1.405486131972424,0.7136531630104266,0.12994680516213944,0.24189112840866922,39.22475557892275,2.490174829393062,0.12994680516212787,0.24189112840867577,39.224755578922995
flat,0.75,1.8540003178933553,1,1990,1.405486131972424,0.7136531630104266,0.12994680516213944,0.23772796972926802,39.280542612181385,2.492653439953834,0.12994680516212784,0.23772796972927385,39.28054261218164
flat,0.75,1.8540003178933553,2,2020,1.339667762739423,0.7136531630104266,0.14428571428572387,0.2197758948772389,39.392710265773346,2.4430000000052323,0.14428571428571385,0.21977589487888946,39.392710265653776
flat,0.75,1.8540003178933553,3,2050,1.1219986438186136,0.7136531631213039,0.19748682319119162,0.20264687234513712,39.115033244412245,2.250356748317642,0.19748682319236627,0.2027878747598392,39.103894650577644
flat,0.75,1.8540003178933553,4,2080,1.0688804499803877,0.7235836020283222,0.21189690699040184,0.1989904161849254,38.90739599838448,2.2490859110658454,0.21201603905794347,0.19911647235492452,38.894840582581274
flat,0.75,1.8540003178933553,5,2110,1.0688804499803877,0.724890580923917,0.2118797695908779,0.19899474325621128,38.83288455455225,2.2829856713487935,0.21201603905794347,0.1991164723549245,38.820313213714606
flat,0.75,1.8540003178933553,6,2140,1.0688804499803877,0.7248905809238733,0.21187976959087845,0.19899474325621166,38.806259173168414,2.2951969947967448,0.21201603905794347,0.1991164723549245,38.79368216041295
flat,0.75,1.8540003178933553,7,2170,1.0688804499803877,0.7248905809238315,0.2118797695908791,0.18447943349828036,39.00619935402527,2.308265765367885,0.21201603905794347,0.1846552962483064,38.989033372320385
