spec,phi,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
scale,0.75,0.9582686105304897,frLeisure,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.14428571428570258,0.21991852840649537,34.74238642154363,0.1979961689823129,0.2028387097813083,34.48288931220462
scale,0.75,0.9582686105304897,frLeisure,False,0.7290270053245301,0.7382263472668594,0.7506081004750879,0.1442857144626519,0.21971046757918536,34.75567095024264,0.19784511947598685,0.2021643585399994,34.531811313911184
scale,0.75,0.9582686105304897,frVoting,True,0.7382263650417814,0.7382263650417814,0.7382263650417814,0.15356160083660728,0.21534685315553642,39.187891038488694,0.20720829245828926,0.19853040208262374,38.888584389222665
scale,0.75,0.9582686105304897,frVoting,False,0.325212322261229,0.3277390815208349,0.3523968096244031,0.16438789913686752,0.21799472534140624,38.59159586533245,0.2181669322734268,0.20051116130201885,38.31350347537777
scale,0.75,0.9582686105304897,frBoth,True,0.49525006077119177,0.49525006077119177,0.49525006077119177,0.12525107177405292,0.23400577909757003,40.68353479444985,0.1800434452699213,0.21600651381280114,40.37411259385487
scale,0.75,0.9582686105304897,frBoth,False,1.0,1.0,1.0,0.13931378634352465,0.21746832211370137,40.92466243319354,0.19237164403683157,0.20056506880080055,40.59603047494322
scale,0.75,0.9582686105304897,frAll,True,0.49525006077119194,0.49525006077119194,0.49525006077119194,0.12525107177405295,0.23400577909757003,35.88082864337889,0.18004344526992136,0.21600651381280114,35.60793384664848
scale,0.75,0.9582686105304897,frAll,False,1.0,1.0,1.0,0.1393137863435247,0.21746832211370126,36.093491076244106,0.19237164403683146,0.20056506880080072,35.80365424077016
scale,0.75,0.9582686105304897,France,True,1.0,1.0,1.0,0.21285714285714277,0.19193602100310828,35.49020119128882,0.23292205931404342,0.1847110372155914,35.375297132473534
flat,0.5,0.7086438658553842,baseline,True,0.7161525512467675,0.7161525512467675,0.7161525512467675,0.14428571428571405,0.21976010970535287,39.392710264876854,0.19742975719999398,0.20278239468024076,39.10450341188103
flat,0.5,0.7086438658553842,baseline,False,0.7152669166521383,0.7161524947543385,0.7203462979293068,0.14428571478964783,0.21969860494861884,39.39723135324859,0.19738352904252102,0.20268395531559086,39.1131674495546
flat,0.5,0.7086438658553842,mild,True,0.7161525512467675,0.7161525512467675,0.7161525512467675,0.18491398190086156,0.2054390435365129,39.0699640962727,0.21415764970639506,0.19641802380163353,38.897764200262316
flat,0.5,0.7086438658553842,mild,False,0.7222727173729115,0.7223593239248841,0.723119775990044,0.18484595502717674,0.2053546829421542,39.0778473404948,0.21407523035515513,0.1963096487299563,38.90815944824971
flat,0.5,0.7086438658553842,acute,True,0.7161525512467675,0.7161525512467675,0.7161525512467675,0.23181246979917774,0.18989674706874543,38.645667824758405,0.23181246979917774,0.1898967470687454,38.64566782475841
flat,0.5,0.7086438658553842,acute,False,0.7267584987421666,0.7267584987422084,0.7267584987421842,0.23167734748960522,0.18977913722163572,38.65820041121098,0.23167734748960567,0.1897791372216353,38.658207168260645
flat,0.5,0.7086438658553842,frIncome,True,0.43225400841238754,0.43225400841238754,0.43225400841238754,0.1035236253440532,0.24705727314214793,41.18734390174506,0.15843951520228636,0.2283188294051197,40.89097035887781
flat,0.5,0.7086438658553842,frIncome,False,0.9039433582179798,0.9039772463989159,0.9064279284105405,0.1316180005612179,0.22368497945215104,41.0526112877787,0.18467691341906786,0.20630328861247543,40.71631417299433
flat,0.5,0.7086438658553842,frLeisure,True,0.7161525512467675,0.7161525512467675,0.7161525512467675,0.14428571428571402,0.2197601097053527,34.74238642127883,0.19742975719999445,0.20278239468024062,34.48820249260993
flat,0.5,0.7086438658553842,frLeisure,False,0.715266916651909,0.7161524947542223,0.7203462979302235,0.14428571478964874,0.21969860494860538,34.74637379351683,0.19738352904251047,0.20268395531559188,34.49584373746982
flat,0.5,0.7086438658553842,frVoting,True,0.7161525512467675,0.7161525512467675,0.7161525512467675,0.15338451195569774,0.2152201869292745,39.191267289791085,0.20648020193982544,0.1985020586344407,38.89793848930913
flat,0.5,0.7086438658553842,frVoting,False,0.6276524913229524,0.627791722324813,0.6287914925493346,0.1554700596345551,0.21586755078524208,39.07253207809375,0.20872083393407584,0.19891427267209852,38.786346380263495
flat,0.5,0.7086438658553842,frBoth,True,0.43225400841238754,0.43225400841238754,0.43225400841238754,0.11453894744276744,0.24123950790661974,40.93621394543402,0.1694109319619733,0.22281878373262487,40.6338582698332
flat,0.5,0.7086438658553842,frBoth,False,0.8280100239335617,0.8280033133983372,0.8285326587518419,0.1346102646898476,0.22301056948604392,40.88435839009189,0.18774778232290448,0.2056596638054291,40.55902926502462
flat,0.5,0.7086438658553842,frAll,True,0.4322540084123874,0.4322540084123874,0.4322540084123874,0.11453894744276746,0.2412395079066198,36.10367892824288,0.1694109319619733,0.22281878373262487,35.837016450648484
flat,0.5,0.7086438658553842,frAll,False,0.8280100239335874,0.8280033133984921,0.8285326587513755,0.13461026468984694,0.22301056948604953,36.05794494016006,0.18774778232290723,0.2056596638054331,35.77102103720482
