ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R
0.5,CRRA,french,Voting,ee,0.1442857142857193,0.22731022974604057,0.15911716082222838,39.39271026565068,0.4689608364958411,0.6722596122568731,2.442999999999832
1.0,LOG,baseline,Baseline,baseline,0.14428571428571396,0.219624212794553,0.15373694895618709,39.392710265653776,0.4689608364958987,0.671430973962159,2.4429999999958376
1.0,LOG,theta,$\theta = 0$,full,0.1851579218398408,0.2064097824068055,0.14448684768476383,37.98283350508087,0.4521765893462205,0.6474002606617988,2.3814612296981807
1.0,LOG,theta,$\theta = 0$,ee,0.14428571428571396,0.22551443135020025,0.15786010194514016,38.49793650816315,0.4583087679543432,0.6561799589541482,2.4040227878268348
1.0,LOG,theta,$\theta = 1$,full,0.12279733669126323,0.22884062461614668,0.16018843723130266,39.861480483848254,0.4745414343315475,0.6794209508397133,2.463313919708587
1.0,LOG,theta,$\theta = 1$,ee,0.14428571428571396,0.21760877303021087,0.1523261411211476,39.68692392020083,0.47246338000241145,0.6764457129657288,2.455758018340054
1.0,LOG,ageing,Mild ageing,full,0.18452321641782557,0.20535658701549178,0.14374961091084423,39.366762827074716,0.4686519384175766,0.6709887115780917,2.2208136513706727
1.0,LOG,ageing,Mild ageing,ee,0.14428571428571396,0.21962421279455305,0.1537369489561871,39.836110455469765,0.47423941018418453,0.6789885301520089,2.2393149282431857
1.0,LOG,ageing,Acute ageing,full,0.23105819038529346,0.1898625636875254,0.13290379458126778,39.29594593820218,0.467808880216713,0.669781669657188,1.987365801779704
1.0,LOG,ageing,Acute ageing,ee,0.14428571428571396,0.21962421279455305,0.1537369489561871,40.3554190580365,0.4804216554528365,0.6878399109901617,2.0247233527963995
1.0,LOG,french,Income distribution,full,0.13793746065084986,0.22435673953574306,0.15704971767502013,40.941645336016826,0.4874005397145072,0.78145638847643,2.7167884908790096
1.0,LOG,french,Income distribution,ee,0.14428571428571396,0.22109187679740847,0.15476431375818592,40.87604487423814,0.48661958183618953,0.7802042673288009,2.7137405964970447
1.0,LOG,french,Leisure preferences,full,0.14428571428571385,0.21962421279515534,0.15373694895660872,33.71209111996663,0.4013344180948583,0.5746073835065835,2.1906971748704462
1.0,LOG,french,Leisure preferences,ee,0.14428571428571396,0.2196242127945529,0.15373694895618703,33.71209111997354,0.40133441809494064,0.5746073835067013,2.1906971748707607
1.0,LOG,french,Voting,full,0.1532317398449172,0.21511204168622422,0.15057842918035694,39.30884862979764,0.4679624836880875,0.6700015902142212,2.439358269828291
1.0,LOG,french,Voting,ee,0.14428571428571396,0.219624212794553,0.15373694895618709,39.392710265653776,0.4689608364958987,0.671430973962159,2.4429999999958376
2.0,CRRA,baseline,Baseline,baseline,0.14428571428506295,0.21217981424658192,0.14852586997260733,39.392710265653776,0.4689608364958783,0.6704034168142567,2.442999999992978
2.0,CRRA,theta,$\theta = 0$,full,0.15324634547083976,0.21283490643914046,0.14898443450739832,38.44053444503462,0.457625410059936,0.6541988470030863,2.4015130760115126
2.0,CRRA,theta,$\theta = 0$,ee,0.14428571428506295,0.2152656839530999,0.1506859787671699,38.55206840587396,0.45895319530802337,0.6560969836870888,2.4063884943483695
2.0,CRRA,theta,$\theta = 1$,full,0.13714710152991477,0.21353595719013185,0.1494751700330923,39.73181312534294,0.47299777530170156,0.6761744265836787,2.457702054922991
2.0,CRRA,theta,$\theta = 1$,ee,0.14428571428506295,0.21108184276752248,0.14775728993726572,39.6741351075507,0.4723111322327464,0.675192835321178,2.4552040468758425
2.0,CRRA,ageing,Mild ageing,full,0.18077669360661724,0.19732607525567822,0.13812825267897474,39.397327183458735,0.4690157998030801,0.67048198966316,2.2220204787232243
2.0,CRRA,ageing,Mild ageing,ee,0.14428571428506295,0.20569911731146906,0.14398938211802834,39.81084539304002,0.4739386356314288,0.677519434376882,2.2383206727714255
2.0,CRRA,ageing,Acute ageing,full,0.2211393111816542,0.18199628166429394,0.12739739716500575,39.3943943381385,0.4689808849778392,0.6704320771410102,1.9908497661632472
2.0,CRRA,ageing,Acute ageing,ee,0.14428571428506295,0.19869066193017784,0.13908346335112448,40.30209769740626,0.4797868773500745,0.6858797939749915,2.022850303492186
2.0,CRRA,french,Income distribution,full,0.1343304006531444,0.2199782062717008,0.15398474439019055,40.92466240782308,0.4871983619978938,0.7724990325123086,2.6978430129513282
2.0,CRRA,french,Income distribution,ee,0.14428571428506295,0.21653760131474398,0.15157632092032078,40.8230057951019,0.48598816422740354,0.7705801496100374,2.693150265251147
2.0,CRRA,french,Leisure preferences,full,0.1453342171371378,0.20846793620476944,0.1459275553433386,34.07736910734184,0.4056829655635933,0.5799444752985548,2.2072859786636783
2.0,CRRA,french,Leisure preferences,ee,0.14428571428506295,0.20867838088306628,0.1460748666181464,34.08788996504054,0.4058082138695302,0.5801235241352928,2.2077629822263343
2.0,CRRA,french,Voting,full,0.16168276835486955,0.20625668221467439,0.14437967755027206,39.23298494975323,0.46705934463991944,0.6676851372947888,2.4360618461554417
2.0,CRRA,french,Voting,ee,0.14428571428506295,0.21217981422962523,0.14852586996073766,39.39271026560602,0.4689608364953098,0.6704034168134441,2.442999999990905
