ρ,spec,phi,commonX,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1,method
2.0,scale,0.5,True,0.0900677838985416,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1486460528691212,0.2109376339049851,35.43827732982631,0.1952645135241235,0.1966483306122414,35.14629016125669,
2.0,scale,0.5,True,0.0900677838985416,frAll,False,0.426391561559696,0.5080868936416498,0.522407879650732,0.1496363438463869,0.2120086196980518,35.21074063749836,0.1963817718379411,0.1974691885641446,34.942928766159376,
2.0,scale,0.5,True,0.0900677838985416,France,True,1.0,1.0,1.0,0.2128571428571417,0.1782130198538734,35.441714849021594,0.2298296525095425,0.1718679808706124,35.32146586255724,
0.5,scale,0.5,True,0.9349541524512563,baseline,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.14428571428565523,0.2282761935277438,39.392710265653776,0.20272682346868162,0.2094994574564938,39.16239882288146,exact
0.5,scale,0.5,True,0.9349541524512563,baseline,False,0.7379198687156658,0.7382252872563375,0.7407298262906084,0.14422217770312618,0.22823208498051087,39.39739217169434,0.202533099239766,0.209221763764701,39.17944323931204,exact
0.5,scale,0.5,True,0.9349541524512563,acute,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.24160414996159607,0.19411464975696494,38.613727179152335,0.2416080240383267,0.19411357834963863,38.6136492566263,exact
0.5,scale,0.5,True,0.9349541524512563,acute,False,0.7565762042269878,0.7564221660287179,0.7564331189556418,0.24086365414851488,0.1937133800346381,38.63979470462514,0.2408579231804102,0.19372621907856152,38.641901488158425,exact
0.5,scale,0.5,True,0.9349541524512563,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1275084134797999,0.240529998603996,40.557434184111045,0.1869317268280551,0.22064521179958596,40.31821180399184,exact
0.5,scale,0.5,True,0.9349541524512563,frIncome,False,1.0,1.0,1.0,0.13135912004469438,0.2263304513013865,40.646391931018414,0.18871908740460108,0.20753441815316778,40.416930723683635,exact
0.5,scale,0.5,True,0.9349541524512563,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.144137161435997,0.22830762160798382,34.09547044960421,0.2027971164096497,0.20946396239226384,33.89418869958108,exact
0.5,scale,0.5,True,0.9349541524512563,frLeisure,False,0.7378985502033345,0.7381290232954189,0.7399054065230863,0.1440756247967209,0.22829284650022102,34.09886217124051,0.20262702864957607,0.20919367318135018,33.90859574322214,exact
0.5,scale,0.5,True,0.9349541524512563,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.14778227813875522,0.22573720584025808,39.2949491567929,0.20617863337232295,0.20712865735065955,39.062920131414344,exact
0.5,scale,0.5,True,0.9349541524512563,frVoting,False,0.6532658230990784,0.6537744263199772,0.6591414602475462,0.15074627028714352,0.2274507089338753,39.179642105908954,0.20929055544824343,0.20847589139655118,38.94998611186488,exact
0.5,scale,0.5,True,0.9349541524512563,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.13057544260626014,0.23825154168925053,40.47129832801626,0.18983200968443228,0.21856566291226967,40.23269907482855,exact
0.5,scale,0.5,True,0.9349541524512563,frBoth,False,1.0,1.0,1.0,0.13141253065818062,0.22622504330874277,40.63243564687851,0.18874554867705498,0.20748668453041302,40.41018086634791,exact
0.5,scale,0.5,True,0.9349541524512563,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1304875864333649,0.23824013170108163,35.02959983474194,0.1900008610117583,0.2184499443552559,34.81957534634872,exact
