ρ,preferences,spec,phi,commonX,method,p,scenario,θpinned,θ_tm1,θ_t0,θ_t1,τ_t0,sr_t0,ww_t0,τ_t1,sr_t1,ww_t1
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frAll,False,0.9729779536283728,0.9717850872341728,0.9660974380703192,0.1382544505020865,0.2187814631551323,35.45775974966136,0.191458125732029,0.2012996752928175,35.240396025965296
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frAll,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1382414797477245,0.2228930832061577,35.25109774659491,0.1920540491015777,0.2056110881135158,34.9900625583921
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frBoth,False,0.9729779536281186,0.9717850872361916,0.9660974380697898,0.1382544505020684,0.2187814631551446,40.45454541249776,0.1914581257320349,0.2012996752928161,40.20655031372809
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frBoth,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1382414797477244,0.2228930832061579,40.21876014441844,0.1920540491015774,0.2056110881135158,39.920939302098816
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frIncome,False,1.0,1.0,1.0,0.1379730051511732,0.2183635415901083,40.51813335047407,0.1910288111799113,0.2014065601465154,40.215327439053645
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frIncome,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1316210063284978,0.2262649502420603,40.36637667142843,0.185471857249807,0.2087884268173194,40.07225993093854
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frLeisure,False,0.7336031745387633,0.7382263897414998,0.747806653617483,0.144285714040578,0.2197335691901182,34.53732253040202,0.1977936629993403,0.2023813249321174,34.302836180775145
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frLeisure,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.144285714285706,0.2198945752345186,34.52707828569003,0.1979114278074742,0.2028300059558336,34.26997705681442
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frVoting,False,0.529111772482469,0.5329670385494113,0.5463584679063417,0.1592777658948075,0.2166120212191411,38.88415708686698,0.2129849957955703,0.1996599461857526,38.57964123117257
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,frVoting,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1535348939563927,0.2153276611702128,39.18839979628151,0.2070991963672853,0.1985258893989172,38.88998459658847
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,mild,False,0.7517782344683581,0.7521816889344421,0.757447925053672,0.1851236023158174,0.2052443643211118,39.08839812154706,0.2145087889504275,0.1959482986670293,38.93549366763416
1.0,LOG,scale,0.5,True,exact,0.4076119851494873,mild,True,0.7382263650417816,0.7382263650417816,0.7382263650417816,0.1852930903970517,0.2055220887733383,39.06394513423738,0.2147659573314465,0.1964598083918339,38.88928738052924
2.0,CRRA,scale,0.5,True,exact,0.0854650103204216,France,True,1.0,1.0,1.0,0.2128571428571417,0.1782130198538734,35.441714849021594,0.2298296525095425,0.1718679808706124,35.32146586255724
2.0,CRRA,scale,0.5,True,exact,0.0854650103204216,acute,False,0.8205754033343977,0.8208135140432089,0.8208114332933762,0.2203530329341088,0.1860926325251813,38.80478580822607,0.2203542312335893,0.1860899469051638,38.805171233150006
2.0,CRRA,scale,0.5,True,exact,0.0854650103204216,acute,True,0.7382263650417817,0.7382263650417817,0.7382263650417817,0.2200545748633474,0.1866345348064937,38.71446716361464,0.2200549595427558,0.1866340334381289,38.71446808519647
2.0,CRRA,scale,0.5,True,exact,0.0854650103204216,baseline,False,0.7216262160940651,0.7382266443498735,0.7456923662031706,0.1443245667283432,0.2121772335020189,39.40156540250622,0.1911251461441179,0.1976846536940593,39.09695773354026
