ρ,preferences,family,scenario,effect,τ,sr,srOverY,workweek,hbar,h,R,θ,ω
1.0,LOG,ageing,Mild ageing,ee,0.144285714285714,0.219624212794553,0.15373694895618709,40.12260992384518,0.3824682681949577,0.683871784332635,2.117916357153205,,
1.0,LOG,ageing,Acute ageing,full,0.23105819038529385,0.18986256368752522,0.13290379458126764,38.65778517217748,0.36850484490213514,0.6589045073145402,2.257271893140392,,
1.0,LOG,ageing,Acute ageing,ee,0.144285714285714,0.219624212794553,0.15373694895618709,40.99229853605639,0.3907585638166195,0.6986952343568366,1.7925596581905952,,
1.0,LOG,french,Income distribution,full,0.1283164650815215,0.2278671136818903,0.1595069795773232,40.86209880138775,0.3895174365037983,0.6774480125215078,2.3518629398175674,,
1.0,LOG,french,Income distribution,ee,0.144285714285714,0.21962421279455296,0.15373694895618706,40.4991649384796,0.3860577740770704,0.6714309739621588,2.442999999995838,,
1.0,LOG,french,Leisure preferences,full,0.14428571428571393,0.21962421279455296,0.15373694895618706,34.727776265623774,0.3310420850434588,0.5919192785752014,2.442999999995839,,
1.0,LOG,french,Leisure preferences,ee,0.144285714285714,0.21962421279455296,0.15373694895618706,34.727776265623774,0.3310420850434588,0.5919192785752014,2.442999999995838,,
1.0,LOG,french,Voting,full,0.1532317398449177,0.21511204168616752,0.15057842918031725,39.19418533844426,0.37361807265678365,0.6680472061448866,2.4954169011224905,,
1.0,LOG,french,Voting,ee,0.144285714285714,0.219624212794553,0.15373694895618709,39.392710265653776,0.3755105089974772,0.671430973962159,2.442999999995838,,
1.0,LOG,french,All French characteristics,full,0.1337825458144104,0.22499438196581312,0.15749606737606917,35.91432923931852,0.3423528861561476,0.5954195128957279,2.382610500869544,,
1.0,LOG,french,All French characteristics,ee,0.144285714285714,0.21962421279455296,0.15373694895618706,35.703203192758856,0.3403403298057061,0.5919192785752013,2.4429999999958376,,
1.0,LOG,french,France (own calibration),full,0.2128571428571429,0.19193602100310814,0.13435521470217568,35.441714849020045,0.33784769549869625,0.604395751755248,2.0865364110014593,1.0,1.418057102915061
2.0,CRRA,baseline,Baseline,baseline,0.14428571428506637,0.21217981424658028,0.1485258699726062,39.392710265653776,0.3749358281701151,0.6704034168142556,2.442999999992997,,
2.0,CRRA,theta,$\theta = 0$,full,0.15205524969652684,0.21357946391652574,0.149505624741568,38.38057750163294,0.3653024509910098,0.6531784719274136,2.438832918482133,,
2.0,CRRA,theta,$\theta = 0$,ee,0.14428571428506637,0.215297896188807,0.1507085273321649,38.547657206590685,0.36689269870756175,0.6560219118514152,2.4085311303110672,,
2.0,CRRA,theta,$\theta = 1$,full,0.1372444997020993,0.2130997876295896,0.1491698513407127,39.789805780230274,0.37871534307569876,0.6771613724862168,2.4283533905545927,,
2.0,CRRA,theta,$\theta = 1$,ee,0.14428571428506637,0.2110807052791644,0.14775649369541508,39.67429805890648,0.37761595227820044,0.6751956085029396,2.4551225602337445,,
2.0,CRRA,ageing,Mild ageing,full,0.18010924258775932,0.19962863030615238,0.13974004121430667,39.08077038272516,0.3719668159453558,0.6650946791837221,2.3748201455312095,,
2.0,CRRA,ageing,Mild ageing,ee,0.14428571428506637,0.20575152246117775,0.14402606572282442,39.80320062798296,0.37884283388050755,0.6773893322188819,2.2417641339620213,,
2.0,CRRA,ageing,Acute ageing,full,0.21986003044522517,0.18660444936078915,0.1306231145525524,38.717227684381584,0.36850665334777255,0.6589077409029126,2.296683899314465,,
2.0,CRRA,ageing,Acute ageing,ee,0.14428571428506637,0.1988233603643992,0.13917635225507943,40.28204745113329,0.3834004494645521,0.685538569582997,2.030919176829864,,
2.0,CRRA,french,Income distribution,full,0.1342001853602119,0.21513184170440705,0.15059228919308493,40.67513905936542,0.3871418555949077,0.6733164065534748,2.4070475397374005,,
2.0,CRRA,french,Income distribution,ee,0.14428571428506637,0.21217981437063343,0.1485258700594434,40.49916493856866,0.3854669517288752,0.6704034168157297,2.4430000001301786,,
2.0,CRRA,french,Leisure preferences,full,0.1442883810786596,0.21217862027302103,0.1485250341911147,35.06213219962746,0.33371782456764165,0.5967036304155469,2.442994139115545,,
2.0,CRRA,french,Leisure preferences,ee,0.14428571428506637,0.2121798143706336,0.1485258700594435,35.06214145337833,0.33371791264390555,0.5967037879001718,2.443000000130178,,
2.0,CRRA,french,Voting,full,0.161189455519323,0.20727676184742272,0.1450937332931959,39.10512364860673,0.3721986078644793,0.6655091343595017,2.504034910235666,,
2.0,CRRA,french,Voting,ee,0.14428571428506637,0.21217981437063335,0.14852587005944334,39.39271026574039,0.3749358281709395,0.6704034168157297,2.443000000130178,,
2.0,CRRA,french,All French characteristics,full,0.1444398996892476,0.2121132249647147,0.14847925747530027,36.04510685102893,0.34307367778281833,0.5966731123733611,2.4434518373151666,,
2.0,CRRA,french,All French characteristics,ee,0.14428571428506637,0.21217981437063335,0.14852587005944334,36.046959963928884,0.34309131552378996,0.5967037879001715,2.4430000001301795,,
2.0,CRRA,french,France (own calibration),full,0.21285850052436153,0.1782125311205108,0.12474877178435755,35.44169354059078,0.3373304509839438,0.6034704224086209,2.223200833057747,1.0,1.1679577401804195
